Feature:,Collapse Group:,Notes:
mh_Hyperlipidemia,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_elevated cholesterol,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_high chol,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_high cholesterol,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_high lipids,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_hihg cholesterol,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_hyperlipidemia,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_increased cholesterol,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_nigh cholesterol,High cholesterol / hyperlipidemia; chronic inflammatory issue,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_hip replacement,Hip Replacement; acute inflammatory issue,
mh_Jon hodgkins lymphoma diagnosed 21 years ago,Hodgkin's lymphoma; chronic inflammatory issue,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket. 
mh_hodgkins lymphoma,Hodgkin's lymphoma; chronic inflammatory issue,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket. 
mh_HBP,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_HTN,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_HTn,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_High Blood Pressure,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_High blood pressure,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_Hypertension,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_high BP,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_high blood pessure,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_high blood pressure,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_hypertension,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_HN,Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_HTN (took meds),Hypertension (HTN); chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_pulmonary HTN,Hypertension (HTN); chronic inflammatory issue,
mh_HTN basal cell carcinoma,Hypertension (HTN); Basal cell carcinoma; chronic inflammatory issue,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_hypotension,Hypotension (low blood pressure),Opposite condition from hypertension
mh_low blood pressure,Hypotension (low blood pressure),Opposite condition from hypertension
mh_Hypothyroid,Hypothyroidism; autoimmune issue; chronic inflammatory issue,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothroid,Hypothyroidism; autoimmune issue; chronic inflammatory issue,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothroidism,Hypothyroidism; autoimmune issue; chronic inflammatory issue,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothyroid,Hypothyroidism; autoimmune issue; chronic inflammatory issue,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothyroidism,Hypothyroidism; autoimmune issue; chronic inflammatory issue,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_implantable cardioverter-defibrillator,Implantable Cardioverter-Defibrillator,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_incontinence due to age,Incontinence,
mh_Influenza A,Influenza; acute inflammatory issue,
mh_insomia,Insomnia; chronic inflammatory issue,chronic insomnia linked to low grade chronic inflammation
mh_ICH,Intracranial hemorrhage (ICH); acute inflammatory issue,ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap
mh_cerebral hemorrhage,Intracranial hemorrhage (ICH); acute inflammatory issue,ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap
mh_head bleed,Intracranial hemorrhage (ICH); acute inflammatory issue,ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap
mh_ischemic bowel,Ischemic bowel; acute inflammatory issue,
mh_generalized jaundice,Jaundice,"Symptom, often liver-related -- consider cross-referencing with liver disease group"
mh_jaundice,Jaundice,"Symptom, often liver-related -- consider cross-referencing with liver disease group"
mh_kidney cancer,Kidney Cancer; chronic inflammatory issue,"malignancy, not inflammatory or autoimmune in mechanism"
mh_kidney disease,Kidney disease/problems; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidney issues,Kidney disease/problems; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidney issues (has 2 but only 1 works),Kidney disease/problems; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidney problems,Kidney disease/problems; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidnry disease,Kidney disease/problems; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_hyperkalemia,Kidney disease/problems; chronic inflammatory issue,Hyperkalemia (high blood potassium) is often a downstream symptom of kidney disease -- consider grouping with renal conditions or keeping separate as a lab-value flag.
mh_kidney atrophy,Kidney disease/problems; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_kidney removed (2011),Kidney disease/problems; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_kidney transplant secondary to nephritis,Kidney disease/problems; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_nephritis,Kidney disease/problems; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_polycystic kidney disease,Kidney disease/problems; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
oc_lasik,LASIK; acute inflammatory issue,
oc_lasik surgery,LASIK; acute inflammatory issue,
mh_Lasik surgery ~10 years ago,LASIK; acute inflammatory issue,
oc_lasik surgery (OS) 8 yrs ago,LASIK; acute inflammatory issue,
oc_lasik (OU),LASIK; acute inflammatory issue,
oc_lasik 10 yrs ago (OU),LASIK; acute inflammatory issue,
oc_2 eye surgeries: lazy eye correction,Lazy eye (amblyopia),
oc_lazy eye,Lazy eye (amblyopia),
mh_Leukemia,Leukemia; chronic inflammatory issue,Generic leukemia mention without AML/CML/CLL subtype specified
mh_leukemia,Leukemia; chronic inflammatory issue,Generic leukemia mention without AML/CML/CLL subtype specified
mh_CLL,Leukemia; chronic inflammatory issue,Distinct leukemia subtype from AML/CML.
mh_CML,Leukemia; chronic inflammatory issue,Distinct leukemia subtype from AML -- do not merge with AML.
mh_leukocytosis,Leukocytosis; general inflammation,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_leukopenia,Leukopenia,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_liver cancer,Liver Cancer; chronic inflammatory issue,"Cancer diagnosis, distinct from liver failure/cirrhosis -- do not merge with general liver disease group."
mh_hepatic fibrosis,Liver disease; chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_liver failure,Liver disease; chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_liver mass,Liver disease; chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_haptic encephalopathy,Liver disease; Encephalopathy; chronic inflammatory issue,"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy""."
mh_lung cancer,Lung Cancer; chronic inflammatory issue,
mh_small cell lung cancer,Lung Cancer; chronic inflammatory issue,
mh_Pulmonary Mycobacterium complex,Lung disease; chronic inflammatory issue,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_aspergillis,Lung disease; chronic inflammatory issue,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_interstitial lung disease,Lung disease; chronic inflammatory issue,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_lung disease,Lung disease; chronic inflammatory issue,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_pulmonary fibrosis,Lung disease; chronic inflammatory issue,Lung conditions distinct from COPD -- fibrosis/ILD/infection.
mh_histoplasmosis,Lung disease; chronic inflammatory issue,Fungal infection.
mh_lung mass,Lung disease; chronic inflammatory issue,Not specified as cancer or benign -- keep separate from confirmed lung cancer diagnoses.
mh_lymphoma,Lymphoma; chronic inflammatory issue,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket.
mh_mental retardation,Mental Retardation,
mh_mesothelioma,Mesothelioma; chronic inflammatory issue,
mh_metastatic ovarian cancer,Metastatic Ovarian Cancer; chronic inflammatory issue,"Endometrial and ovarian cancer are different primary sites -- verify before merging into one ""gynecologic"" bucket vs. keeping separate."
mh_multi-system organ failure,Multi-System Organ Failure; acute inflammatory issue,
mh_MS,Multiple sclerosis (MS); autoimmune issue; chronic inflammatory issue,MS = multiple sclerosis
mh_MS (diagnosed 1960),Multiple sclerosis (MS); autoimmune issue; chronic inflammatory issue,MS = multiple sclerosis
mh_myleodyspastic syndrome,Myelodysplastic syndrome (pre-leukemic); chronic inflammatory issue,Generic leukemia mention without AML/CML/CLL subtype specified.
mh_pre-leukemic blood disorder,Myelodysplastic syndrome (pre-leukemic); chronic inflammatory issue,Generic leukemia mention without AML/CML/CLL subtype specified.
mh_multiple myeloma,Myeloma; chronic inflammatory issue,
mh_pre-multiple myeloma,Myeloma; chronic inflammatory issue,
mh_MI,Myocardial infarction (MI / heart attack); acute inflammatory issue,MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_MI - 1yr ago,Myocardial infarction (MI / heart attack); acute inflammatory issue,MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_STEMI,Myocardial infarction (MI / heart attack); acute inflammatory issue,MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_heart attack,Myocardial infarction (MI / heart attack); acute inflammatory issue,MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_multiple myocardial infarctions,Myocardial infarction (MI / heart attack); acute inflammatory issue,MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_recent MI,Myocardial infarction (MI / heart attack); acute inflammatory issue,MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_neuropathy,Nervous system disorder; chronic inflammatory issue,Nerve damage/dysfunction. Can stem heavily from inflammatory or non inflammatory causes. Depends on type
mh_restless leg syndrome,Nervous system disorder; chronic inflammatory issue,
mh_neurogenic bladder,Nervous system disorder; Incontinence; chronic inflammatory issue,
mh_neutropenic fever,Neutropenic Fever; acute inflammatory issue,"Fever occurring with a low white-blood-cell count, usually in the context of chemotherapy or blood disorder -- related to but distinct from the general blood-abnormality group above."
mh_Non-Hodgkin's lymphoma,Non-Hodgkin's lymphoma; autoimmune issue; chronic inflammatory issue,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket
mh_Non-Hodgkins lymphoma,Non-Hodgkin's lymphoma; autoimmune issue; chronic inflammatory issue,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket
mh_non-Hodgkin's lymphoma,Non-Hodgkin's lymphoma; autoimmune issue; chronic inflammatory issue,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket
oc_Ocular Albinism,Ocular Albinism,
oc_outer layer chemical damage fixed,Ocular chemical damage; acute inflammatory issue,
oc_eyes med to decrease IOP,Ocular Hypertension; chronic inflammatory issue,IOP = intraocular pressure. IOL = intraocular lens (surgical implant) -- verify whether this IOL surgery row belongs here or with cataract/pseudophakic surgery group instead.
mh_DJD,Osteoarthritis (OA/DJD); chronic inflammatory issue,"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_Degenerative Joint disease,Osteoarthritis (OA/DJD); chronic inflammatory issue,"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_OA,Osteoarthritis (OA/DJD); chronic inflammatory issue,"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_asteoarthritis,Osteoarthritis (OA/DJD); chronic inflammatory issue,"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_osteoarthritis,Osteoarthritis (OA/DJD); chronic inflammatory issue,"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_osteoperosis,Osteoporosis; chronic inflammatory issue,
mh_osteoporosis,Osteoporosis; chronic inflammatory issue,
mh_pacemaker,Pacemaker; general inflammation,"Arrhythmia, tachycardia, or implanted cardiac device, distinct from atrial fibrillation."
mh_Paget's disease,Paget's Disease; chronic inflammatory issue,"Rare chronic bone disorder, distinct entity."
mh_pancreatic cancer,Pancreatic Cancer; chronic inflammatory issue,
mh_paraplegia,Paraplegia; acute inflammatory issue,
mh_Parkinson's,Parkinson's disease; chronic inflammatory issue,"Parkinson's disease, various spellings"
mh_Parkinsons,Parkinson's disease; chronic inflammatory issue,"Parkinson's disease, various spellings"
mh_parkinson,Parkinson's disease; chronic inflammatory issue,"Parkinson's disease, various spellings"
mh_parkinson's,Parkinson's disease; chronic inflammatory issue,"Parkinson's disease, various spellings"
oc_patially blind due to blod clot (OD),Patially Blind Due To Blod Clot; acute inflammatory issue,"""oc_patially blind"" looks like a typo for ""partially blind""."
mh_peripheral vascular disease,Peripheral Vascular Disease; chronic inflammatory issue,
oc_confirmed phakic,Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_phakic,Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic (OD),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakis (OD),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_Confirmed phakic (OU),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic (OU),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic(OU),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic (OS),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present."
mh_Pleural effusions,Pleural effusion; general inflammation,"Fluid around the lungs -- can be a symptom of several underlying conditions (heart failure, cancer, infection); kept as its own bucket rather than merged into one cause"
mh_large pleural effusion,Pleural effusion; general inflammation,"Fluid around the lungs -- can be a symptom of several underlying conditions (heart failure, cancer, infection); kept as its own bucket rather than merged into one cause"
mh_pleural effusion,Pleural effusion; general inflammation,"Fluid around the lungs -- can be a symptom of several underlying conditions (heart failure, cancer, infection); kept as its own bucket rather than merged into one cause"
mh_aspiration pneumonia,Pneumonia; acute inflammatory issue,"Acute lung infection, distinct from chronic lung disease."
mh_pneumonia,Pneumonia; acute inflammatory issue,"Acute lung infection, distinct from chronic lung disease."
mh_polio,Polio; acute inflammatory issue,
mh_polio (childhood),Polio; acute inflammatory issue,
mh_polyps removed,Polyp; chronic inflammatory issue,Likely colon polyps (precancerous) -- distinct from confirmed colorectal cancer diagnoses.
mh_Prostate cancer,Prostate Cancer; chronic inflammatory issue,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_prostate cancer,Prostate Cancer; chronic inflammatory issue,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_enlarged prostate,Prostate disease; chronic inflammatory issue,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
mh_prostectomy,Prostate disease; chronic inflammatory issue,"""Enlarged prostate"" (BPH) is benign, distinct from prostate cancer -- verify whether this row is being conflated with the cancer diagnosis rows before merging."
oc_confirmed pseudophakic,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_pseudophakic,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_OD pseudophakic,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseudophakic (OD),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_OU pseudophakic - cataract surgery,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_IOL surgery (OU)-Date?,Pseudophakic,IOP = intraocular pressure. IOL = intraocular lens (surgical implant) -- verify whether this IOL surgery row belongs here or with cataract/pseudophakic surgery group instead
oc_OU pseudophakic,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confimred pseudophakic (OU),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseduophakic (OU),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseeudophakic (OU),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseudophakic (OU),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseudophakic (OU)\,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"""
oc_confirmed pseudophakic (OS),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates."
mh_Pulmonary Embolism,Pulmonary embolism; acute inflammatory issue,"Pulmonary embolism (clot in lung) and pulmonary hypertension are distinct from COPD/fibrosis -- vascular, not obstructive/restrictive lung disease. "
mh_pulmonary embolism,Pulmonary embolism; acute inflammatory issue,"Pulmonary embolism (clot in lung) and pulmonary hypertension are distinct from COPD/fibrosis -- vascular, not obstructive/restrictive lung disease. "
mh_pulmonary hypertension; diastolic heart failure; rheumatoid arthritis,Pulmonary hypertension; Congestive heart failure (CHF); Rheumatoid arthritis (RA); autoimmune issue; chronic inflammatory issue,
mh_Raynand's disease,Raynaud's disease; autoimmune issue; chronic inflammatory issue,"""mh_Raynand's disease"" looks like a typo for ""Raynaud's disease""."
mh_rectal cancer,Rectal cancer; chronic inflammatory issue,
mh_Acute Renal Failure,Renal failure; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_Renal failure,Renal failure; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_acute kidney failure,Renal failure; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_acute renal failure,Renal failure; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_renal failure,Renal failure; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_end stage renal disease,Renal failure; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_renal transplant (on dialysis),Renal failure; chronic inflammatory issue,"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate."
mh_hypoxic respiratory failure,Respiratory failure; acute inflammatory issue,Generic respiratory symptom/failure notes without a named diagnosis
mh_respiratory failure,Respiratory failure; acute inflammatory issue,Generic respiratory symptom/failure notes without a named diagnosis
oc_detached retina (had surgery),Retinal detachment; acute inflammatory issue,
oc_retinal detachment,Retinal detachment; acute inflammatory issue,
oc_retinal detachment s/p sx,Retinal detachment; acute inflammatory issue,
oc_retinal detachment surgery - unknown date,Retinal detachment; acute inflammatory issue,
oc_retina detachment surgery (OD),Retinal detachment; acute inflammatory issue,
oc_retina detachment surgery (OD) - 20 yrs ago,Retinal detachment; acute inflammatory issue,
oc_Detached retina surgery (OU) - 20yrs ago,Retinal detachment; acute inflammatory issue,
oc_detached retina (OU),Retinal detachment; acute inflammatory issue,
oc_retina detachment surgery (OU),Retinal detachment; acute inflammatory issue,
