Feature:,Flag:,Collapse Group:,Notes:
mh_jaundice,MH: Jaundice,Jaundice,"Symptom, often liver-related -- consider cross-referencing with liver disease group"
mh_kidney disease,MH: Kidney/renal disease,"Kidney disease/problems (vague, unspecified)","Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidney issues,MH: Kidney/renal disease,"Kidney disease/problems (vague, unspecified)","Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidney issues (has 2 but only 1 works),MH: Kidney/renal disease,"Kidney disease/problems (vague, unspecified)","Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidney problems,MH: Kidney/renal disease,"Kidney disease/problems (vague, unspecified)","Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidnry disease,MH: Kidney/renal disease,"Kidney disease/problems (vague, unspecified)","Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
oc_lasik,OC: LASIK / refractive surgery,LASIK (eye unspecified),
oc_lasik surgery,OC: LASIK / refractive surgery,LASIK (eye unspecified),
oc_lasik (OU),OC: LASIK / refractive surgery,LASIK (OU - both eyes),
oc_lasik 10 yrs ago (OU),OC: LASIK / refractive surgery,LASIK (OU - both eyes),
oc_2 eye surgeries: lazy eye correction,OC: Lazy eye (amblyopia),Lazy eye (amblyopia),
oc_lazy eye,OC: Lazy eye (amblyopia),Lazy eye (amblyopia),
mh_Leukemia,MH: Leukemia (unspecified/related),Leukemia (unspecified subtype),Generic leukemia mention without AML/CML/CLL subtype specified
mh_leukemia,MH: Leukemia (unspecified/related),Leukemia (unspecified subtype),Generic leukemia mention without AML/CML/CLL subtype specified
mh_MS,MH: Multiple sclerosis (MS),Multiple sclerosis (MS),MS = multiple sclerosis
mh_MS (diagnosed 1960),MH: Multiple sclerosis (MS),Multiple sclerosis (MS),MS = multiple sclerosis
mh_myleodyspastic syndrome,MH: Leukemia (unspecified/related),Myelodysplastic syndrome (pre-leukemic),Generic leukemia mention without AML/CML/CLL subtype specified.
mh_pre-leukemic blood disorder,MH: Leukemia (unspecified/related),Myelodysplastic syndrome (pre-leukemic),Generic leukemia mention without AML/CML/CLL subtype specified.
mh_MI,MH: Myocardial infarction (MI),Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_MI - 1yr ago,MH: Myocardial infarction (MI),Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_STEMI,MH: Myocardial infarction (MI),Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_heart attack,MH: Myocardial infarction (MI),Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_multiple myocardial infarctions,MH: Myocardial infarction (MI),Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_recent MI,MH: Myocardial infarction (MI),Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_Non-Hodgkin's lymphoma,MH: Lymphoma,Non-Hodgkin's lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket
mh_Non-Hodgkins lymphoma,MH: Lymphoma,Non-Hodgkin's lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket
mh_non-Hodgkin's lymphoma,MH: Lymphoma,Non-Hodgkin's lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket
mh_DJD,MH: Osteoarthritis (OA/DJD),Osteoarthritis (OA/DJD),"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_Degenerative Joint disease,MH: Osteoarthritis (OA/DJD),Osteoarthritis (OA/DJD),"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_OA,MH: Osteoarthritis (OA/DJD),Osteoarthritis (OA/DJD),"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_asteoarthritis,MH: Osteoarthritis (OA/DJD),Osteoarthritis (OA/DJD),"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_osteoarthritis,MH: Osteoarthritis (OA/DJD),Osteoarthritis (OA/DJD),"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_osteoperosis,MH: Osteoporosis,Osteoporosis,
mh_osteoporosis,MH: Osteoporosis,Osteoporosis,
mh_Parkinson's,MH: Parkinson's disease,Parkinson's disease,"Parkinson's disease, various spellings"
mh_Parkinsons,MH: Parkinson's disease,Parkinson's disease,"Parkinson's disease, various spellings"
mh_parkinson,MH: Parkinson's disease,Parkinson's disease,"Parkinson's disease, various spellings"
mh_parkinson's,MH: Parkinson's disease,Parkinson's disease,"Parkinson's disease, various spellings"
oc_confirmed phakic,OC: Phakic (natural lens),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_phakic,OC: Phakic (natural lens),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic (OD),OC: Phakic (natural lens),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakis (OD),OC: Phakic (natural lens),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_Confirmed phakic (OU),OC: Phakic (natural lens),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic (OU),OC: Phakic (natural lens),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic(OU),OC: Phakic (natural lens),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
mh_Pleural effusions,MH: Pleural effusion,Pleural effusion,"Fluid around the lungs -- can be a symptom of several underlying conditions (heart failure, cancer, infection); kept as its own bucket rather than merged into one cause"
mh_large pleural effusion,MH: Pleural effusion,Pleural effusion,"Fluid around the lungs -- can be a symptom of several underlying conditions (heart failure, cancer, infection); kept as its own bucket rather than merged into one cause"
mh_pleural effusion,MH: Pleural effusion,Pleural effusion,"Fluid around the lungs -- can be a symptom of several underlying conditions (heart failure, cancer, infection); kept as its own bucket rather than merged into one cause"
mh_polio,MH: Polio (history),Polio (history),
mh_polio (childhood),MH: Polio (history),Polio (history),
oc_confirmed pseudophakic,OC: Pseudophakic (artificial lens),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
oc_pseudophakic,OC: Pseudophakic (artificial lens),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
oc_OD pseudophakic,OC: Pseudophakic (artificial lens),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
oc_confirmed pseudophakic (OD),OC: Pseudophakic (artificial lens),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
oc_OU pseudophakic - cataract surgery,OC: Cataract surgery,Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
oc_IOL surgery (OU)-Date?,OC: Glaucoma / elevated IOP treatment,Pseudophakic,IOP = intraocular pressure. IOL = intraocular lens (surgical implant) -- verify whether this IOL surgery row belongs here or with cataract/pseudophakic surgery group instead
oc_OU pseudophakic,OC: Pseudophakic (artificial lens),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
oc_confimred pseudophakic (OU),OC: Pseudophakic (artificial lens),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
oc_confirmed pseduophakic (OU),OC: Pseudophakic (artificial lens),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
oc_confirmed pseeudophakic (OU),OC: Pseudophakic (artificial lens),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
oc_confirmed pseudophakic (OU),OC: Pseudophakic (artificial lens),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
oc_confirmed pseudophakic (OU)\,OC: Pseudophakic (artificial lens),Pseudophakic,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates"
mh_Pulmonary Embolism,MH: Pulmonary vascular disease,Pulmonary embolism,"Pulmonary embolism (clot in lung) and pulmonary hypertension are distinct from COPD/fibrosis -- vascular, not obstructive/restrictive lung disease. "
mh_pulmonary embolism,MH: Pulmonary vascular disease,Pulmonary embolism,"Pulmonary embolism (clot in lung) and pulmonary hypertension are distinct from COPD/fibrosis -- vascular, not obstructive/restrictive lung disease. "
mh_Acute Renal Failure,MH: Kidney/renal disease,Renal failure (acute/unspecified),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_Renal failure,MH: Kidney/renal disease,Renal failure (acute/unspecified),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_acute kidney failure,MH: Kidney/renal disease,Renal failure (acute/unspecified),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_acute renal failure,MH: Kidney/renal disease,Renal failure (acute/unspecified),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_renal failure,MH: Kidney/renal disease,Renal failure (acute/unspecified),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_hypoxic respiratory failure,MH: Respiratory failure/symptoms (unspecified),Respiratory failure,Generic respiratory symptom/failure notes without a named diagnosis
mh_respiratory failure,MH: Respiratory failure/symptoms (unspecified),Respiratory failure,Generic respiratory symptom/failure notes without a named diagnosis
oc_detached retina (had surgery),OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
oc_retinal detachment,OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
oc_retinal detachment s/p sx,OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
oc_retinal detachment surgery - unknown date,OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
oc_retina detachment surgery (OD),OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
oc_retina detachment surgery (OD) - 20 yrs ago,OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
oc_Detached retina surgery (OU) - 20yrs ago,OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
oc_detached retina (OU),OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
oc_retina detachment surgery (OU),OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
oc_retina surgery (OS),OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
oc_retinal detachment surgery (OS) 5 yrs ago,OC: Retinal detachment,Retinal detachment,"Includes surgery-status and timing variants (e.g. ""20 yrs ago"") -- decide whether timing/laterality should be preserved or collapsed to a simple yes/no. ""oc_retina surgery (OS)"" is grouped here assuming it refers to detachment surgery -- verify"
mh_RA,MH: Rheumatoid arthritis (RA),Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_RA in hands,MH: Rheumatoid arthritis (RA),Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_Rheumatoid Arthritis,MH: Rheumatoid arthritis (RA),Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_Rheumatoid arthritis,MH: Rheumatoid arthritis (RA),Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_possible rheumatoid arthritis,MH: Rheumatoid arthritis (RA),Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_rhematoid arthritis,MH: Rheumatoid arthritis (RA),Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_rheumatiod arthritis,MH: Rheumatoid arthritis (RA),Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_rheumatoid arthritis,MH: Rheumatoid arthritis (RA),Rheumatoid arthritis (RA),"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_epilepsy,MH: Seizure disorder / epilepsy,Seizure disorder / epilepsy,Seizure-related diagnoses
mh_seizure,MH: Seizure disorder / epilepsy,Seizure disorder / epilepsy,Seizure-related diagnoses
mh_seizure disorder,MH: Seizure disorder / epilepsy,Seizure disorder / epilepsy,Seizure-related diagnoses
mh_seizures,MH: Seizure disorder / epilepsy,Seizure disorder / epilepsy,Seizure-related diagnoses
mh_sepsis,MH: Sepsis,Sepsis,
mh_septic shock,MH: Sepsis,Sepsis,
mh_Smoker,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (1 pack/day) for 35 years,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (1 pack/day) for 40 years,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (1 pack/day) for 48 years,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (1 pack/day) for 60 years,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (1 pack/day) quit 30 years ago,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (1 pack/day) since 18 years,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (1 pk/day; over 10 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (1.5 pack/day) for 50 years - quit 2006,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (1.5 packs/day) for 10-15 years,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (1pk/day; 25yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (2 packs/day) for 30 years;HBP,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (4 cigarettes/day) for 50 years,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (? Amount; 20yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (half pk/day; 35yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker (unknown how much) for 50 years,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_Smoker 1 pack/day for 50 years,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_casual smoker for 1 yr,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_heavy smoker,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_light smoker,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_light smoker (20yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_light smoker (35 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_light smoker (unknown how much; quit 30 yrs ago),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_occasional smoker,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_pipe smoker (10yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_pipe smoker (during early 40s),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoked 1.5 ppd age 15 until 1969,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoked 2 ppd,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker,MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (0.5 cigarette/day; 53yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (0.5pk/day; on/off throughout life),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
